season,team,playoffs,total_points,field_goals_percent,three_points_percent,two_points_percent,free_throw_percent,total_rebound,assist,steal,block,turnover,personal_foul
2021,IND,0,8302,0.474,0.364,0.54,0.792,3072,1973,611,460,975,1453
2021,LAC,1,8209,0.482,0.411,0.529,0.839,3179,1756,509,295,950,1383
2021,LAL,1,7887,0.472,0.354,0.539,0.739,3185,1775,562,386,1095,1377
2021,MEM,1,8157,0.467,0.356,0.525,0.771,3346,1938,655,364,957,1349
2021,MIA,1,7781,0.468,0.358,0.553,0.79,2988,1895,569,286,1013,1363
2021,MIL,1,8649,0.487,0.389,0.554,0.76,3465,1834,585,334,995,1244
2021,MIN,0,8073,0.448,0.349,0.518,0.761,3133,1846,632,398,1027,1507
2021,NOP,0,8251,0.477,0.348,0.544,0.729,3413,1872,545,315,1052,1295
2021,NYK,1,7706,0.456,0.392,0.49,0.784,3250,1541,507,365,932,1473
2021,OKC,0,7560,0.441,0.339,0.509,0.725,3283,1588,504,316,1162,1305
2021,ORL,0,7488,0.429,0.343,0.476,0.775,3272,1571,496,318,924,1237
2021,PHI,1,8182,0.476,0.374,0.531,0.767,3244,1706,655,447,1040,1456
2021,PHO,1,8300,0.49,0.378,0.563,0.834,3092,1939,517,312,902,1374
2021,POR,1,8360,0.453,0.385,0.509,0.823,3207,1531,496,363,799,1362
2021,SAC,0,8189,0.481,0.364,0.551,0.745,2981,1836,543,358,963,1400
2021,SAS,0,7998,0.462,0.35,0.514,0.792,3158,1759,505,366,821,1293
2021,TOR,0,8011,0.448,0.368,0.512,0.815,2994,1735,618,389,952,1526
2021,UTA,1,8382,0.468,0.389,0.544,0.799,3474,1703,474,371,1023,1335
2021,WAS,1,8398,0.475,0.351,0.533,0.769,3254,1835,528,297,1037,1555
2020,ATL,0,7488,0.449,0.333,0.525,0.79,2898,1605,523,341,1086,1548
2020,BOS,1,8183,0.461,0.364,0.522,0.801,3317,1655,595,406,995,1553
2020,BRK,1,8048,0.448,0.343,0.524,0.745,3449,1761,464,323,1099,1510
2020,CHI,0,6945,0.447,0.348,0.511,0.755,2721,1510,652,265,1005,1417
2020,CHO,0,6687,0.434,0.352,0.489,0.748,2781,1549,428,268,949,1223
2020,CLE,0,6948,0.458,0.351,0.519,0.758,2876,1500,447,211,1073,1188
2020,DAL,1,8776,0.461,0.367,0.541,0.779,3520,1849,460,363,953,1462
